Filename,MSE,Accuracy
ACB.csv,0.09740841388702393,0.21023225784301758
DHG.csv,7.906548500061035,2.1110100746154785
FPT.csv,2.480248212814331,0.9705312252044678
HAP.csv,0.07453101873397827,0.16475512087345123
HNX.csv,43985.640625,179.2335968017578
HNX30.csv,39953.2109375,170.38656616210938
HPG.csv,0.32376962900161743,0.37381240725517273
KDC.csv,0.8753719925880432,0.6637880802154541
REE.csv,1.245240330696106,0.7612215876579285
SAM.csv,0.17227709293365479,0.2695915699005127
TMS.csv,1.058374285697937,0.609069287776947
VCB.csv,1.826280951499939,0.9138437509536743
VIC.csv,4.201902389526367,1.2778071165084839
VN30.csv,52624.23828125,196.8239288330078
VNINDEX.csv,99467.5546875,258.062744140625
VNM.csv,4.084696292877197,1.5826207399368286
